Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,Drawdown,IsWin,Order Ids
2021-02-23T16:00:00Z,"TQQQ",2021-02-23T16:30:00Z,Buy,22.34207702425,22.09811044075,446,-108.81,4.46,238.95,0,"	1,2" 
2021-02-24T16:00:00Z,"TQQQ",2021-02-25T16:30:00Z,Buy,22.50472141325,22.45210116975,438,-23.05,4.38,557.33,0,"	3,4" 
2021-03-01T15:30:00Z,"TQQQ",2021-03-02T16:45:00Z,Buy,22.531031535,22.39948092625,436,-57.36,4.36,428.08,0,"	5,6" 
2021-03-16T13:45:00Z,"TQQQ",2021-03-16T18:30:00Z,Buy,22.473627633,22.0574493435,434,-180.62,4.34,387.19,0,"	7,8" 
2021-03-17T18:15:00Z,"TQQQ",2021-03-17T18:30:00Z,Buy,22.25118751275,21.93546605175,430,-135.76,4.3,135.76,0,"	9,10" 
2021-03-22T16:45:00Z,"TQQQ",2021-03-22T17:00:00Z,Buy,22.205742757,22.17943263525,425,-11.18,4.25,25.41,0,"	11,12" 
2021-03-23T15:15:00Z,"TQQQ",2021-03-23T15:30:00Z,Buy,22.2296610495,22.1913917815,424,-16.23,4.24,37.52,0,"	13,14" 
2021-04-01T13:45:00Z,"TQQQ",2021-05-11T13:45:00Z,Buy,22.77738994775,22.20335092775,413,-237.08,4.13,2134.69,0,"	15,16" 
2021-05-14T18:15:00Z,"TQQQ",2021-05-17T13:31:00Z,Buy,22.93525067825,22.58604360775,399,-139.33,3.99,254.81,0,"	17,18" 
2021-05-20T14:45:00Z,"TQQQ",2021-05-21T15:30:00Z,Buy,23.1863927495,23.22227018825,389,13.96,3.89,238.19,1,"	19,20" 
2021-05-24T13:45:00Z,"TQQQ",2021-06-03T13:45:00Z,Buy,23.90154969525,23.430359333,378,-178.11,3.78,561.45,0,"	21,22" 
2021-06-04T13:45:00Z,"TQQQ",2021-09-20T13:45:00Z,Buy,24.415792984,32.8015463345,362,3035.64,3.62,1595.75,1,"	23,24" 
2021-09-22T15:45:00Z,"TQQQ",2021-09-22T17:00:00Z,Buy,32.959407065,32.83264011475,360,-45.64,3.6,77.5,0,"	25,26" 
2021-09-27T14:30:00Z,"TQQQ",2021-09-27T15:00:00Z,Buy,33.0885658445,32.997676333,357,-32.45,3.57,66.6,0,"	27,28" 
2021-10-18T14:15:00Z,"TQQQ",2021-12-02T14:31:00Z,Buy,32.64129377475,36.55911008625,361,1414.33,3.61,2602.44,1,"	29,30" 
2021-12-03T17:30:00Z,"TQQQ",2021-12-03T18:45:00Z,Buy,35.41103204625,35.064216805,372,-129.02,3.72,254.47,0,"	31,32" 
2021-12-14T17:30:00Z,"TQQQ",2021-12-14T17:45:00Z,Buy,36.059217773,35.88461423775,362,-63.21,3.62,69.27,0,"	33,34" 
